时间,区域,出租车数量,公交车数量,气温,风向,风速,雨量,AQI,空气质量
2019-04-30 21:00:00,浦东新区,57632,123,16.2,89,5.8,0.0,78,良
2019-04-01 00:00:00,虹口区,33942,0,20,170,0.4,0.0,99,良
2019-04-01 03:00:00,虹口区,30128,0,19.1,100,0.4,0.0,100,良
2019-04-01 06:00:00,虹口区,39100,98,18.5,////,0.2,0.0,102,轻度污染
2019-04-01 09:00:00,虹口区,98565,246,23.5,68,2.2,0.0,143,轻度污染
2019-04-01 12:00:00,虹口区,123762,194,26.4,346,2.2,0.0,64,良
2019-04-01 15:00:00,虹口区,136181,164,25.1,34,1.7,0.0,55,良
2019-04-01 18:00:00,虹口区,111047,254,19.8,21,1.8,0.0,82,良
2019-04-01 21:00:00,虹口区,96733,149,17.3,82,1.5,0.0,69,良
2019-04-02 00:00:00,虹口区,74901,28,17.2,42,0.8,0.0,57,良
2019-04-02 03:00:00,虹口区,33320,0,17.9,75,0.3,0.0,54,良
2019-04-02 06:00:00,虹口区,42092,98,18.5,81,1.5,0.0,35,优
2019-04-02 09:00:00,虹口区,100319,245,22.7,67,1,0.0,57,良
2019-04-02 12:00:00,虹口区,114063,46,27.2,93,3.2,0.0,86,良
2019-04-02 15:00:00,虹口区,134347,94,28.7,109,1.8,0.0,93,良
2019-04-02 18:00:00,虹口区,112012,194,23,255,0.6,9.7,85,良
2019-04-02 21:00:00,虹口区,80972,127,20.4,323,2.7,2.0,50,优
2019-04-03 00:00:00,虹口区,61018,20,18,275,0.7,0.0,59,良
2019-04-03 03:00:00,虹口区,28817,0,15.6,////,0.1,1.9,102,轻度污染
2019-04-03 06:00:00,虹口区,38865,90,14.1,161,1,0.0,97,良
2019-04-03 09:00:00,虹口区,106633,267,14.1,108,1,0.0,113,轻度污染
2019-04-03 12:00:00,虹口区,132833,199,14,48,1.3,0.0,132,轻度污染
2019-04-03 15:00:00,虹口区,127205,166,13.7,21,0.5,0.0,118,轻度污染
2019-04-03 18:00:00,虹口区,113308,205,13.3,23,0.5,0.0,75,良
2019-04-03 21:00:00,虹口区,96227,161,12.7,71,1,0.0,67,良
2019-04-04 00:00:00,虹口区,69834,14,12.7,37,0.7,0.0,59,良
2019-04-04 03:00:00,虹口区,38307,0,12.8,72,0.4,0.1,49,优
2019-04-04 06:00:00,虹口区,33729,82,13.1,133,0.4,0.0,57,良
2019-04-04 09:00:00,虹口区,91983,199,13.7,85,1.6,0.0,59,良
